date,store_id,flavor,units_sold,price_per_scoop,total_revenue,promotion,promo_discount,weekday,month,season,temperature,rainfall,event,social_media_sentiment,customer_traffic
1/1/2020,Brunswick,Mango Sorbet,27,5.5,148.5,Yes,0,Wednesday,1,Summer,30,5.322997196,No,-0.9607337,174
1/1/2020,Brunswick,Watermelon & Strawberry Sorbet,15,5.5,82.5,No,0,Wednesday,1,Summer,30,5.322997196,No,-0.9607337,48
1/1/2020,Brunswick,Banoffee Pie,20,6,120,No,0,Wednesday,1,Summer,30,5.322997196,No,-0.9607337,122
1/1/2020,Brunswick,Malted Chocolate,13,6,78,No,0,Wednesday,1,Summer,30,5.322997196,No,-0.9607337,85
1/1/2020,Brunswick,Malted Vanilla,24,6,144,No,0,Wednesday,1,Summer,30,5.322997196,No,-0.9607337,100
1/1/2020,Brunswick,Cookies & Cream,21,5.1,107.1,No,15,Wednesday,1,Summer,30,5.322997196,No,-0.9607337,30
1/1/2020,Thornbury,Mango Sorbet,29,5.5,159.5,No,0,Wednesday,1,Summer,26,9.793308776,No,-0.25113549,98
1/1/2020,Thornbury,Watermelon & Strawberry Sorbet,21,4.4,92.4,No,20,Wednesday,1,Summer,26,9.793308776,No,-0.25113549,160
1/1/2020,Thornbury,Banoffee Pie,26,6,156,No,0,Wednesday,1,Summer,26,9.793308776,No,-0.25113549,110
1/1/2020,Thornbury,Malted Chocolate,22,6,132,No,0,Wednesday,1,Summer,26,9.793308776,No,-0.25113549,90
1/1/2020,Thornbury,Malted Vanilla,24,4.8,115.2,No,20,Wednesday,1,Summer,26,9.793308776,No,-0.25113549,54
1/1/2020,Thornbury,Cookies & Cream,19,6,114,No,0,Wednesday,1,Summer,26,9.793308776,No,-0.25113549,148
2/1/2020,Brunswick,Mango Sorbet,28,5.5,154,Yes,0,Thursday,1,Summer,30,0,No,0.297218723,189
2/1/2020,Brunswick,Watermelon & Strawberry Sorbet,29,4.95,143.55,No,10,Thursday,1,Summer,30,0,No,0.297218723,111
2/1/2020,Brunswick,Banoffee Pie,26,6,156,Yes,0,Thursday,1,Summer,30,0,No,0.297218723,186
2/1/2020,Brunswick,Malted Chocolate,31,6,186,No,0,Thursday,1,Summer,30,0,No,0.297218723,193
2/1/2020,Brunswick,Malted Vanilla,30,4.8,144,No,20,Thursday,1,Summer,30,0,No,0.297218723,57
2/1/2020,Brunswick,Cookies & Cream,26,6,156,No,0,Thursday,1,Summer,30,0,No,0.297218723,131
2/1/2020,Thornbury,Mango Sorbet,26,5.5,143,No,0,Thursday,1,Summer,38,0,No,-0.150434224,113
2/1/2020,Thornbury,Watermelon & Strawberry Sorbet,27,5.5,148.5,No,0,Thursday,1,Summer,38,0,No,-0.150434224,80
2/1/2020,Thornbury,Banoffee Pie,30,6,180,No,0,Thursday,1,Summer,38,0,No,-0.150434224,136
2/1/2020,Thornbury,Malted Chocolate,30,5.4,162,No,10,Thursday,1,Summer,38,0,No,-0.150434224,107
2/1/2020,Thornbury,Malted Vanilla,31,6,186,Yes,0,Thursday,1,Summer,38,0,No,-0.150434224,144
2/1/2020,Thornbury,Cookies & Cream,30,6,180,No,0,Thursday,1,Summer,38,0,No,-0.150434224,127
3/1/2020,Brunswick,Mango Sorbet,29,5.5,159.5,No,0,Friday,1,Summer,31,0,No,0.237156297,165
3/1/2020,Brunswick,Watermelon & Strawberry Sorbet,29,5.5,159.5,No,0,Friday,1,Summer,31,0,No,0.237156297,175
3/1/2020,Brunswick,Banoffee Pie,34,5.4,183.6,No,10,Friday,1,Summer,31,0,No,0.237156297,141
3/1/2020,Brunswick,Malted Chocolate,22,5.4,118.8,No,10,Friday,1,Summer,31,0,No,0.237156297,97
3/1/2020,Brunswick,Malted Vanilla,29,6,174,No,0,Friday,1,Summer,31,0,No,0.237156297,83
3/1/2020,Brunswick,Cookies & Cream,33,6,198,No,0,Friday,1,Summer,31,0,No,0.237156297,131
3/1/2020,Thornbury,Mango Sorbet,35,5.5,192.5,No,0,Friday,1,Summer,32,0,No,-0.501760193,73
3/1/2020,Thornbury,Watermelon & Strawberry Sorbet,26,5.5,143,Yes,0,Friday,1,Summer,32,0,No,-0.501760193,153
3/1/2020,Thornbury,Banoffee Pie,29,6,174,No,0,Friday,1,Summer,32,0,No,-0.501760193,91
3/1/2020,Thornbury,Malted Chocolate,36,6,216,No,0,Friday,1,Summer,32,0,No,-0.501760193,125
3/1/2020,Thornbury,Malted Vanilla,30,6,180,No,0,Friday,1,Summer,32,0,No,-0.501760193,57
3/1/2020,Thornbury,Cookies & Cream,34,6,204,No,0,Friday,1,Summer,32,0,No,-0.501760193,84
4/1/2020,Brunswick,Mango Sorbet,30,5.5,165,No,0,Saturday,1,Summer,39,5.282248012,No,-0.104477623,172
4/1/2020,Brunswick,Watermelon & Strawberry Sorbet,22,4.4,96.8,No,20,Saturday,1,Summer,39,5.282248012,No,-0.104477623,196
4/1/2020,Brunswick,Banoffee Pie,28,5.1,142.8,No,15,Saturday,1,Summer,39,5.282248012,No,-0.104477623,162
4/1/2020,Brunswick,Malted Chocolate,22,6,,No,0,Saturday,1,Summer,39,5.282248012,No,-0.104477623,183
4/1/2020,Brunswick,Malted Vanilla,18,6,108,No,0,Saturday,1,Summer,39,5.282248012,No,-0.104477623,195
4/1/2020,Brunswick,Cookies & Cream,21,6,126,Yes,0,Saturday,1,Summer,39,5.282248012,No,-0.104477623,149
4/1/2020,Thornbury,Mango Sorbet,20,4.95,99,No,10,Saturday,1,Summer,30,0,No,-0.373159512,241
4/1/2020,Thornbury,Watermelon & Strawberry Sorbet,40,4.95,198,No,10,Saturday,1,Summer,30,0,No,-0.373159512,177
4/1/2020,Thornbury,Banoffee Pie,29,6,174,No,0,Saturday,1,Summer,30,0,No,-0.373159512,227
4/1/2020,Thornbury,Malted Chocolate,33,6,198,No,0,Saturday,1,Summer,30,0,No,-0.373159512,203
4/1/2020,Thornbury,Malted Vanilla,33,6,198,No,0,Saturday,1,Summer,30,0,No,-0.373159512,145
